Ядро,Уровень,Xc,Xcmin,Xcmax,Wmin,Wmax,Amin,Amax
11C,0.0,51.49502813816745,51.34502813816745,51.64502813816745,0.2940000000000055,0.49400000000000543,0.1,10000
11C,2.0,49.545495256483804,49.395495256483805,49.6954952564838,0.2940000000000055,0.49400000000000543,0.1,10000
11C,4.3188,47.252535997156016,47.10253599715602,47.402535997156015,0.2940000000000055,0.49400000000000543,0.1,10000
11C,4.8042,46.76771486308798,46.61771486308798,46.91771486308798,0.2940000000000055,0.49400000000000543,0.1,10000
11C,6.3392,45.22261431792791,45.072614317927915,45.37261431792791,0.2940000000000055,0.49400000000000543,0.1,10000
11C,6.4782,45.0817661330654,44.9317661330654,45.2317661330654,0.2940000000000055,0.49400000000000543,0.1,10000
11C,6.9048,44.648484647835225,44.49848464783523,44.798484647835224,0.2940000000000055,0.49400000000000543,0.1,10000
11C,7.4,44.143577262732975,43.99357726273298,44.293577262732974,0.2940000000000055,0.49400000000000543,0.1,10000
11C,7.4997,44.04166386364223,43.89166386364223,44.191663863642226,0.2940000000000055,0.49400000000000543,0.1,10000
11C,8.1045,43.42152872226912,43.271528722269125,43.57152872226912,0.2940000000000055,0.49400000000000543,0.1,10000
11C,8.42,43.09669983169274,42.94669983169274,43.24669983169274,0.2940000000000055,0.49400000000000543,0.1,10000
13N,0.0,45.60785636259905,45.45785636259905,45.75785636259905,0.2940000000000055,0.49400000000000543,0.1,10000
13N,2.365,43.23024879738929,43.08024879738929,43.380248797389285,0.2940000000000055,0.49400000000000543,0.1,10000
13N,3.5,42.07455361385938,41.92455361385938,42.22455361385938,0.2940000000000055,0.49400000000000543,0.1,10000
13N,3.55,42.0234075896986,41.8734075896986,42.1734075896986,0.2940000000000055,0.49400000000000543,0.1,10000
13N,6.36,39.114348422439846,38.96434842243985,39.264348422439845,0.2940000000000055,0.49400000000000543,0.1,10000
13N,6.89,38.55742470890635,38.407424708906355,38.70742470890635,0.2940000000000055,0.49400000000000543,0.1,10000
13N,7.16,38.272615820843434,38.122615820843436,38.42261582084343,0.2940000000000055,0.49400000000000543,0.1,10000
13N,7.38,38.03999000681117,37.889990006811175,38.18999000681117,0.2940000000000055,0.49400000000000543,0.1,10000
13N,7.9,37.48809947410895,37.33809947410895,37.63809947410895,0.2940000000000055,0.49400000000000543,0.1,10000
13N,8.92,36.396797340884454,36.246797340884456,36.54679734088445,0.2940000000000055,0.49400000000000543,0.1,10000
13N,9.0,36.31069367439081,36.160693674390814,36.46069367439081,0.2940000000000055,0.49400000000000543,0.1,10000
13N,9.48,35.79244178166909,35.64244178166909,35.94244178166909,0.2940000000000055,0.49400000000000543,0.1,10000
17F,0.0,45.288386590399924,45.138386590399925,45.43838659039992,0.2940000000000055,0.49400000000000543,0.1,10000
17F,0.4953,44.80103401879588,44.65103401879588,44.95103401879588,0.2940000000000055,0.49400000000000543,0.1,10000
17F,3.104,42.213149535460886,42.06314953546089,42.363149535460884,0.2940000000000055,0.49400000000000543,0.1,10000
17F,3.857,41.45911501716244,41.30911501716244,41.60911501716244,0.2940000000000055,0.49400000000000543,0.1,10000
17F,4.64,40.67142969974607,40.52142969974607,40.82142969974607,0.2940000000000055,0.49400000000000543,0.1,10000
17F,5.0,40.30799482956571,40.15799482956571,40.457994829565706,0.2940000000000055,0.49400000000000543,0.1,10000
17F,5.22,40.08548786475945,39.93548786475945,40.23548786475945,0.2940000000000055,0.49400000000000543,0.1,10000
17F,5.49,39.811981010064194,39.661981010064196,39.96198101006419,0.2940000000000055,0.49400000000000543,0.1,10000
17F,6.04,39.25333994233691,39.10333994233691,39.403339942336906,0.2940000000000055,0.49400000000000543,0.1,10000
17F,6.56,38.723271126072135,38.573271126072136,38.87327112607213,0.2940000000000055,0.49400000000000543,0.1,10000
17F,7.03,38.24253029821815,38.09253029821815,38.39253029821815,0.2940000000000055,0.49400000000000543,0.1,10000
17F,7.48,37.780741564899955,37.63074156489996,37.930741564899954,0.2940000000000055,0.49400000000000543,0.1,10000
17F,8.08,37.16265563913257,37.012655639132575,37.31265563913257,0.2940000000000055,0.49400000000000543,0.1,10000
17F,8.38,36.85256698148432,36.702566981484324,37.00256698148432,0.2940000000000055,0.49400000000000543,0.1,10000
17F,8.75,36.46913609398095,36.31913609398095,36.61913609398095,0.2940000000000055,0.49400000000000543,0.1,10000
17F,9.17,36.032533666112776,35.88253366611278,36.182533666112775,0.2940000000000055,0.49400000000000543,0.1,10000
12C,0.0,58.745014566667216,58.59501456666722,58.895014566667214,0.2940000000000055,0.49400000000000543,0.1,10000
12C,4.4398,54.57274781271175,54.42274781271175,54.722747812711745,0.2940000000000055,0.49400000000000543,0.1,10000
12C,7.654,51.49613329004736,51.34613329004736,51.64613329004736,0.2940000000000055,0.49400000000000543,0.1,10000
12C,9.641,49.56711689386196,49.41711689386196,49.717116893861956,0.2940000000000055,0.49400000000000543,0.1,10000
12C,9.87,49.34335414485744,49.193354144857445,49.49335414485744,0.2940000000000055,0.49400000000000543,0.1,10000
